estado,pi
"ADJ,ADJ",3.546469149992058e-05
"ADJ,ADP",0.0019920590439300077
"ADJ,ADV",0.0001976698433400142
"ADJ,AUX",9.687784461460711e-05
"ADJ,CCONJ",0.00034630064998407835
"ADJ,DET",0.0001236034796825364
"ADJ,INTJ",1.685994135680287e-05
"ADJ,NOUN",0.0017220623629642514
"ADJ,NUM",2.36360207884475e-05
"ADJ,PART",1.652385881162916e-05
"ADJ,PRON",6.37605924836952e-05
"ADJ,PROPN",0.0001063262625422142
"ADJ,PUNCT",0.003539433556374931
"ADJ,SCONJ",0.00027611947935567973
"ADJ,SYM",1.9333112745970386e-05
"ADJ,VERB",0.0001456040616912173
"ADJ,X",1.760005803930856e-05
"ADP,ADJ",0.0007857430003530505
"ADP,ADP",9.670715532775518e-05
"ADP,ADV",0.0063151737560876225
"ADP,AUX",0.0006110819429257725
"ADP,CCONJ",7.426120806037771e-05
"ADP,DET",0.1088266780178393
"ADP,INTJ",3.790521721200962e-05
"ADP,NOUN",0.029694048232744002
"ADP,NUM",0.010414632543637758
"ADP,PART",3.575858713496344e-05
"ADP,PRON",0.020911708275573048
"ADP,PROPN",0.00470025872867572
"ADP,PUNCT",0.00206939300603928
"ADP,SCONJ",0.001190103422761391
"ADP,SYM",0.00010408436594586514
"ADP,VERB",0.006161958757617093
"ADP,X",3.29864181451864e-05
"ADV,ADJ",0.0007854074418396443
"ADV,ADP",0.03748972645763993
"ADV,ADV",0.004866336583601496
"ADV,AUX",0.01095006736468754
"ADV,CCONJ",0.00048242507378231086
"ADV,DET",0.005880289633727671
"ADV,INTJ",3.500108406026173e-05
"ADV,NOUN",0.0001905257505068762
"ADV,NUM",0.0003947382973872142
"ADV,PART",3.45614397975381e-05
"ADV,PRON",0.004665121876014993
"ADV,PROPN",0.00017079219206499318
"ADV,PUNCT",0.021452462679472248
"ADV,SCONJ",0.0036012411658613687
"ADV,SYM",3.782841863508581e-05
"ADV,VERB",0.018404640086789707
"ADV,X",3.660452035751159e-05
"AUX,ADJ",0.010161747770938501
"AUX,ADP",0.007410944475924689
"AUX,ADV",0.006392658326236107
"AUX,AUX",0.0002195837181798169
