estado,pi
"ADJ,ADJ",3.546469149992058e-05
"ADJ,ADP",0.00199205904393
"ADJ,ADV",0.00019766984334
"ADJ,AUX",9.687784461460712e-05
"ADJ,CCONJ",0.000346300649984
"ADJ,DET",0.0001236034796825
"ADJ,INTJ",1.685994135680287e-05
"ADJ,NOUN",0.0017220623629642
"ADJ,NUM",2.36360207884475e-05
"ADJ,PART",1.652385881162916e-05
"ADJ,PRON",6.37605924836952e-05
"ADJ,PROPN",0.0001063262625422
"ADJ,PUNCT",0.0035394335563749
"ADJ,SCONJ",0.0002761194793556
"ADJ,SYM",1.9333112745970383e-05
"ADJ,VERB",0.0001456040616912
"ADJ,X",1.760005803930856e-05
"ADP,ADJ",0.000785743000353
"ADP,ADP",9.670715532775518e-05
"ADP,ADV",0.0063151737560876
"ADP,AUX",0.0006110819429257
"ADP,CCONJ",7.426120806037771e-05
"ADP,DET",0.1088266780178393
"ADP,INTJ",3.790521721200962e-05
"ADP,NOUN",0.029694048232744
"ADP,NUM",0.0104146325436377
"ADP,PART",3.575858713496344e-05
"ADP,PRON",0.020911708275573
"ADP,PROPN",0.0047002587286757
"ADP,PUNCT",0.0020693930060392
"ADP,SCONJ",0.0011901034227613
"ADP,SYM",0.0001040843659458
"ADP,VERB",0.006161958757617
"ADP,X",3.29864181451864e-05
"ADV,ADJ",0.0007854074418396
"ADV,ADP",0.0374897264576399
"ADV,ADV",0.0048663365836014
"ADV,AUX",0.0109500673646875
"ADV,CCONJ",0.0004824250737823
"ADV,DET",0.0058802896337276
"ADV,INTJ",3.500108406026173e-05
"ADV,NOUN",0.0001905257505068
"ADV,NUM",0.0003947382973872
"ADV,PART",3.45614397975381e-05
"ADV,PRON",0.0046651218760149
"ADV,PROPN",0.0001707921920649
"ADV,PUNCT",0.0214524626794722
"ADV,SCONJ",0.0036012411658613
"ADV,SYM",3.782841863508581e-05
"ADV,VERB",0.0184046400867897
"ADV,X",3.660452035751159e-05
"AUX,ADJ",0.0101617477709385
"AUX,ADP",0.0074109444759246
"AUX,ADV",0.0063926583262361
"AUX,AUX",0.0002195837181798
"AUX,CCONJ",0.000116703408951
"AUX,DET",0.0163693386158571
"AUX,INTJ",4.145703718991279e-05
"AUX,NOUN",0.0015494859147978
"AUX,NUM",0.0016631911013188
"AUX,PART",4.192629069429241e-05
"AUX,PRON",0.0035593508566272
"AUX,PROPN",5.072392910421772e-05
"AUX,PUNCT",0.0004313997012656
"AUX,SCONJ",0.0015624263148942
"AUX,SYM",0.0002061780955392
"AUX,VERB",0.002844130700355
"AUX,X",4.3965997132818e-05
"CCONJ,ADJ",0.0003973720045121
"CCONJ,ADP",0.0050287398974505
"CCONJ,ADV",0.0065830283232526
"CCONJ,AUX",0.004590620339167
"CCONJ,CCONJ",0.0001013004380687
"CCONJ,DET",0.0163344914412213
"CCONJ,INTJ",3.510176681357017e-05
"CCONJ,NOUN",0.0005980521124958
"CCONJ,NUM",0.0002996392474119
"CCONJ,PART",3.452386700516495e-05
"CCONJ,PRON",0.0067332564605843
"CCONJ,PROPN",0.0010780766618937
"CCONJ,PUNCT",0.0138305605813339
"CCONJ,SCONJ",0.0015166138421093
